COUNTRY,DATE_IMPLEMENTED,CATEGORY,MEASURE,COMMENTS
Bangladesh,2020-01-08,Movement restrictions,Domestic travel restrictions,"restrictions on travel from four districts (Dhaka, Narayanganj, Gazipur and Chattogram) to other areas during the Eid holidays."
Bangladesh,2020-03-01,Movement restrictions,Visa restrictions,"Travelers who lived in or visited the EU region and Iran since March 1, 2020 will not be allowed to enter Bangladesh until April 15, 2020.  However, those travelers who have not been to the EU region or Iran on or before February 29, 2020 will be permitted to enter Bangladesh with valid visas."
Bangladesh,2020-03-01,Movement restrictions,Additional health/documents requirements upon arrival,"Foreign nationals with valid visas will be required to produce a medical certificate (with English translation) to be obtained within 72 hours of travel, indicating that they do not have any symptoms of COVID-19.  This medical certificate needs to be submitted on arrival at the Bangladesh point of entry (airport/seaport/land port)."
Bangladesh,2020-03-08,Public health measures,Isolation and quarantine policies,"14 days self-quarantine, foreign nationals arriving from China, Italy, Iran or South Korea"
Bangladesh,2020-03-08,Public health measures,Health screenings in airports and border crossings,screening measures
Bangladesh,2020-03-16,Movement restrictions,International flights suspension,"From March 16 to 31, foreign nationals on flights originating from Europe, except for the United Kingdom, will not be allowed to enter Bangladesh."
Bangladesh,2020-03-16,Movement restrictions,Visa restrictions,Issuance of on-arrival visas for Bangladesh will remain suspended for two weeks between March 15 to 29 for incoming passengers of all countries. Foreign nationals with valid visas staying in Bangladesh now will have the option of extending their existing visas for up to three months.
Bangladesh,2020-03-16,Public health measures,Isolation and quarantine policies,Passengers arriving in Bangladesh from other coronavirus-affected countries will be placed under self-quarantine for two weeks after arrival.  This will continue until further notice.
Bangladesh,2020-03-19,Governance and socio-economic measures,Emergency administrative structures activated or established,National Guideline for Health Care Provider On Infection Prevention and Control of COVID-19 pandemic in Healthcare Setting
Bangladesh,2020-03-20,Movement restrictions,Additional health/documents requirements upon arrival,medical certificates that may be required in order to travel
Bangladesh,2020-03-21,Movement restrictions,International flights suspension,prohibit most � but not all � incoming flights from landing at all international airports in Bangladesh.  The Hazrat Shahjalal International Airport remains open with limited flights.
Bangladesh,2020-03-29,Lockdown,Partial lockdown,"general holiday period from March 29 to April 11.  Bangladeshi government offices and private sector organizations will largely remain closed until April 9 and the government has advised everyone to stay home during this period.  Hospitals, pharmacies, and food stores remain open.  Public transportation and banking services remain limited."
Bangladesh,2020-03-29,Governance and socio-economic measures,Military deployment,army has been deployed to enforce social distancing measures.
Bangladesh,2020-03-29,Movement restrictions,International flights suspension,"Until April 7, all scheduled international commercial passenger flights from Bahrain, Bhutan, Hong Kong, India, Kuwait, Malaysia, Oman, Qatar, Saudi Arabia, Sri Lanka, Singapore, Thailand, Turkey, and United Arab Emirates (UAE) shall not be allowed to land at any international airport in Bangladesh."
Bangladesh,2020-03-30,Governance and socio-economic measures,Emergency administrative structures activated or established,National Guidelines on Clinical Management of Coronavirus Disease 2019 (Covid-19)
Bangladesh,2020-04-07,Governance and socio-economic measures,Emergency administrative structures activated or established,How to Run a COVID-19 Hospital in Bangladesh
Bangladesh,2020-04-10,Movement restrictions,Curfews,extends existing COVID-19 restrictions until April 25 and imposes curfew from April 10
Bangladesh,2020-04-12,Lockdown,Partial lockdown,Holiday period extended to April 25
Bangladesh,2020-04-13,Governance and socio-economic measures,Emergency administrative structures activated or established,Activated Health and Social Protection Programme to Fight COVID-19
Bangladesh,2020-04-29,Lockdown,Partial lockdown,extending the general holiday period to May 5
Bangladesh,2020-04-29,Movement restrictions,Curfews,"A daily curfew is in effect from 6 p.m. to 6 a.m.  Hospitals, pharmacies, and food stores remain open."
Bangladesh,2020-05-08,Governance and socio-economic measures,Economic measures,Targeting Covid-19 Relief Payments in Bangladesh
Bangladesh,2020-05-12,Lockdown,Partial lockdown,"The Government of Bangladesh�s general holiday period has been extended to May 30.  Bangladeshi government offices and private sector organizations will largely be closed from March 26 to May 30 and the government has advised everyone to stay home during this period.  Hospitals, pharmacies, and kitchen markets will remain open.  Public transportation and banking services will be limited."
Bangladesh,2020-05-12,Movement restrictions,International flights suspension,"until May 30 all scheduled international commercial passenger flights from Bahrain, Bhutan, Hong Kong, India, Kuwait, Malaysia, Maldives, Oman, Qatar, Saudi Arabia, Sri Lanka, Singapore, Thailand, Turkey, UAE and UK shall not be allowed to land at any international airport in Bangladesh."
Bangladesh,2020-05-12,Movement restrictions,Domestic travel restrictions,All domestic commercial passenger flights are also suspended until May 30.
Bangladesh,2020-05-12,Movement restrictions,Additional health/documents requirements upon arrival,"Foreign nationals with valid visas will be required to produce a medical certificate (with English translation) to be obtained within 72 hours of travel, indicating that they are COVID-19 negative.  This medical certificate needs to be submitted on arrival at the Bangladesh point of entry (airport/seaport/land port)."
Bangladesh,2020-05-12,Public health measures,Isolation and quarantine policies,"Updated isolation/quarantine measures based on ""no visa required"" stamp"
Bangladesh,2020-05-31,Movement restrictions,Domestic travel restrictions,Inter-district  travel  will  be  strictly  controlled. District  administration  will  enforce  these controls  with  the  assistance  of  law  and  order  forces.
Bangladesh,2020-05-31,Movement restrictions,Checkpoints within the country,Checkpoints  will  be present  at  the  entry  and  exit  of  each  district.  District  administration  will  enforce  these controls  with  the  assistance  of  law  and  order  forces.
Bangladesh,2020-05-31,Movement restrictions,Curfews,"People are forbidden to come out of their homes between 20:00-6:00 unless very necessary (necessary purchase and sales, commuting to work, purchase of medication, health services, burial of the dead etc.).  All shops, wet markets and shopping malls must be closed by 16:00 (4pm)."
Bangladesh,2020-05-31,Public health measures,Requirement to wear protective gear in public,Masks should be worn in all circumstances when outdoors and all health regulations must be obeyed.
Bangladesh,2020-05-31,Social distancing,Schools closure,no educational institution will remain open. But online / distance learning will continue;
Bangladesh,2020-05-31,Movement restrictions,Domestic travel restrictions,"No one will be allowed to leave station during this time. Public transports, water transports and railways can limitedly operate with limited numbers of passengers maintaining all heath related instructions."
Bangladesh,2020-05-31,Social distancing,Limit public gatherings,"No public gatherings, meetings and events to be allowed during this time. Prayers in mosques and other religious gatherings will continue maintaining strict health advisory"
Bangladesh,2020-05-31,Social distancing,Closure of businesses and public services,"Between May 31 to June 15, offices and workplaces began to reopen"
Bangladesh,2020-06-01,Movement restrictions,Domestic travel restrictions,domestic commercial passenger flights will resume in a limited scal
Bangladesh,2020-06-25,Movement restrictions,International flights suspension,"The Government of Bangladesh has authorized the resumption of limited international commercial flights. Biman Bangladesh Airlines, Emirates, and Qatar Airways have resumed flights, and Turkish Airlines is scheduled to resume flights in July."
Bangladesh,2020-06-30,Public health measures,Isolation and quarantine policies,"the Civil Aviation Authority of Bangladesh announced until further notice all international commercial passenger flights from Bahrain, Bhutan, Hong Kong, India, Kuwait, Malaysia, Maldives, Nepal, Oman, Saudi Arabia, Sri Lanka, Singapore, Thailand, and Turkey shall not be allowed to land at any airport in Bangladesh."
Bangladesh,2020-07-01,Movement restrictions,Curfews,"An update to the curfews set in place on May 31, from July 1- August 3, no one will be allowed outdoors from 10 p.m. to 5 a.m. except to receive medical services, to go to work, or to buy or sell medicine. Stores can remain open until 7 p.m."
Bangladesh,2020-07-23,Movement restrictions,Additional health/documents requirements upon arrival,all departing from any airport in Bangladesh on any airline must show COVID-19 PCR test results at the time of check-in.
Bangladesh,2020-07-23,Public health measures,Requirement to wear protective gear in public,the Government of Bangladesh will take legal action against those not wearing masks or social distancing.
Bangladesh,2020-07-23,Movement restrictions,Curfews,Restrictions on overnight movement have been lifted.
Bangladesh,2020-07-23,Movement restrictions,Domestic travel restrictions,The public transit system is returning to full capacity
Bangladesh,2020-07-23,Public health measures,Other public health measures enforced,"Government offices, private businesses, banks, factories and other services will remain open if all safety guidelines are followed."
Bangladesh,2020-07-23,Public health measures,Other public health measures enforced,"The Government of Bangladesh (GoB) has established a three-zone system to categorize COVID-19 infected areas as Red, Yellow and Green. The Directorate General of Health Services (DGHS) determines zoning parameters based on the number of COVID-19 infected individuals living within a high, moderate or low population density ranked area: 
- High-density populated areas with more than 39 confirmed cases per 100,000 residents are marked as Red Zones.
- Moderately dense populated areas located outside the cities (to include villages) with more than 30 confirmed cases per 100,000 residents are categorized as Red Zones.
- High density populated areas with less than 39 confirmed cases per 100,000 residents are marked as Yellow Zones.
- Moderately dense populated areas located outside the cities to include villages with less than 30 confirmed cases per 100,000 residents are categorized as Yellow Zones.
- Areas with less than five cases will be Green Zones.

It is important to note GoB officials have confirmed that the list of Red zones does not mean the areas are or will be under lockdown restrictions. The Public Administration Ministry will issue notification days in advance through local media to announce that an uptick in cases now requires a lockdown public order."
Bangladesh,2020-07-23,Public health measures,Other public health measures enforced,Passengers must wear face masks and they must be seated (no standing room). All 100 intercity trains resumed full operation as of September 5.
Bangladesh,2020-08-31,Movement restrictions,Curfews,"From 10:00PM to 05:00AM, no one will be allowed outside except for a medical emergency, to buy medical supplies, to go to work or to bury or cremate the dead. Bazars, shops and shopping malls will open from 07:00AM to 08:00PM."
Bangladesh,2020-08-31,Public health measures,Other public health measures enforced,"Shops and bazars will conduct temperature screenings, provide hand sanitizer and spray disinfectant on vehicles entering shopping mall parking garages."
Bangladesh,2020-08-31,Social distancing,Limit public gatherings,Mass gatherings are strictly prohibited.
Brazil,2020-03-07,Public health measures,Health screenings in airports and border crossings,People from risky countries
Brazil,2020-03-13,Public health measures,Isolation and quarantine policies,7 days quarantine for international travellers - 14 for people with syntoms
Brazil,2020-03-16,Social distancing,Changes in prison-related policies,suspension of day-release programmes
Brazil,2020-03-16,Governance and socio-economic measures,Emergency administrative structures activated or established,"Decree 10,277 establishing a �Crisis Committee to Supervise and Monitor the Impacts of COVD-19�"
Brazil,2020-03-17,Governance and socio-economic measures,Emergency administrative structures activated or established,President asked Congress to declare a state of public calamity
Brazil,2020-03-18,Public health measures,Awareness campaigns,Ministry of Health holds regular press conferences. Traditional and social media are covering the global epidemic and Brazil-specific issues.
Brazil,2020-03-18,Movement restrictions,Border closure,The northern Brazil-Venezuela border will be closed *only humanitarian and cargo trucks are permitted to cross the border.
Brazil,2020-03-19,Movement restrictions,Border closure,"15 day land border suspension- Argentina, Paraguay, Bolivia, Peru, Colombia, Suriname and French Guiana *exception: citizens, permanent residents, diplomats/intl agency officials and trucks of goods"
Brazil,2020-03-19,Movement restrictions,Border closure,"As of 19 March, all land borders with neighbouring countries of Brazil are closed. These countries include: Argentina, Bolivia, Colombia, Guyana, French Guyana, Paraguay, Peru, Suriname and Venezuela for at least 15 days. On 22 March, the land border with Uruguay was announced closed for at least 30 days. *Brazilian nationals and residents are exempt from entry restrictions, as well as humanitarian aid and cargo trucks."
Brazil,2020-03-20,Governance and socio-economic measures,Emergency administrative structures activated or established,"Declares ""State of community transmission"""
Brazil,2020-03-20,Public health measures,Isolation and quarantine policies,Govt. implemented voluntary 7day quarantine
Brazil,2020-03-23,Movement restrictions,Visa restrictions,"travelers from folowing countries are not premitted entry: China, EU, UK, Ireland, Switzerland, Iceland, Norway, Australia, Iran, Japan, Malaysia and Korea (Rep.), Venezuela, Argentina, Bolivia, Colombia, Guyana, Paraguay, Peru, Suriname. *Exceptions: citizens and residents, family members of Brazilians, diplomats and persons traveling for Brazilian government and crew. All-cargo operations are permitted. Transit passengers are allowed, whether coming or not from the restricted countries, as long as the passenger does not leave the international airport area. Exceptionally, foreigners who are in one of the land border countries and need to cross to Brazil to board a repatriation flight may enter Brazil with authorization from Federal Police, provided that the traveler goes directly to the airport, ticket in hand, and authorized by the respective embassy or consulate of both countries."
Brazil,2020-03-23,Public health measures,Awareness campaigns,"Influenza vaccination campaign. The influenza vaccine is not effective against the coronavirus, however, at this time, it will assist health professionals in excluding the diagnosis for coronavirus, since the symptoms are similar."
Brazil,2020-03-27,Movement restrictions,Border closure,extension of land border closure with venezuela for 15 additional days *excoet cargo and humanitartian aid
Brazil,2020-03-30,Movement restrictions,Border closure,"closure of its borders, beginning on March 30, 2020 for 30 days, to individuals arriving by air who do not fall into one of the several categories. It does not prevent individuals from departing on commercial flights. However, given the decision to limit the entry of foreign nationals, the availability of international flights are declining."
Brazil,2020-03-30,Movement restrictions,Visa restrictions,"all foreign travelers for 30 days except residents, citizens, family members and foreign nationals crossing to get to home country, diplomats or other government officials approved entry"
Brazil,2020-04-03,Governance and socio-economic measures,Economic measures,"tax exemptions on medicines and medical supplies were granted, while the pharmaceutical industry agreed to suspend the annual increase of medicines for two months."
